ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.0,0.0,-0.0,221.114,-0.301575,-0.025644,31.1655,44.4524,81.8219,187.142,58.8537,27.47,18.2784,14.0148,11.6511,10.2358,9.38125,8.9082,8.73319,0.025644,0.301575,221.114,0.0,0.0,1.0
1.0,0.0,-0.0,221.23,-0.293569,-0.0250789,31.0024,44.2425,81.5457,185.866,59.3049,27.7381,18.4687,14.1654,11.7788,10.3495,9.48667,9.00928,8.83317,0.0250789,0.293569,221.23,0.0,0.0,1.0
1.0,0.0,-0.0,221.373,-0.286415,-0.0266635,30.7513,43.8211,80.4646,183.844,60.5426,28.1519,18.7103,14.3374,11.9148,10.4645,9.58873,9.10345,8.92299,0.0266635,0.286415,221.373,0.0,0.0,1.0
1.0,0.0,-0.0,221.526,-0.279986,-0.0295779,30.4531,43.2825,78.9348,181.366,62.3074,28.6557,18.9809,14.5199,12.0533,10.5777,9.68629,9.19097,9.00412,0.0295779,0.279986,221.526,0.0,0.0,1.0
1.0,0.0,-0.0,221.676,-0.274159,-0.0330431,30.1454,42.7136,77.2822,178.701,64.3393,29.1935,19.2586,14.702,12.1885,10.6863,9.77822,9.27206,9.07797,0.0330431,0.274159,221.676,0.0,0.0,1.0
1.0,0.0,-0.0,221.818,-0.2688,-0.0363967,29.8579,42.1822,75.7515,176.085,66.3775,29.714,19.5234,14.8742,12.3156,10.7877,9.86376,9.34716,9.14605,0.0363967,0.2688,221.818,0.0,0.0,1.0
1.0,0.0,-0.0,221.955,-0.263774,-0.0393044,29.6025,41.7164,74.4408,173.64,68.2617,30.1899,19.7662,15.0326,12.433,10.8818,9.94333,9.41731,9.20993,0.0393044,0.263774,221.955,0.0,0.0,1.0
1.0,0.0,-0.0,222.084,-0.258962,-0.0415718,29.3843,41.3286,73.3912,171.437,69.8725,30.6041,19.9816,15.1754,12.5401,10.9686,10.0176,9.48356,9.27099,0.0415718,0.258962,222.084,0.0,0.0,1.0
1.0,0.0,-0.0,222.211,-0.25427,-0.0431454,29.2023,41.0179,72.5975,169.498,71.1521,30.9513,20.1688,15.3027,12.6377,11.0491,10.0876,9.54691,9.3303,0.0431454,0.25427,222.211,0.0,0.0,1.0
1.0,0.0,-0.0,222.337,-0.249637,-0.0441024,29.0508,40.772,72.0177,167.79,72.1165,31.2383,20.3314,15.417,12.7273,11.1245,10.1543,9.60827,9.38867,0.0441024,0.249637,222.337,0.0,0.0,1.0
1.0,0.0,-0.0,222.461,-0.245025,-0.0445844,28.9217,40.5744,71.5966,166.26,72.8274,31.4784,20.4754,15.5215,12.8112,11.1964,10.2188,9.66836,9.44658,0.0445844,0.245025,222.461,0.0,0.0,1.0
1.0,0.0,-0.0,222.586,-0.240415,-0.0447413,28.8075,40.409,71.2813,164.85,73.3601,31.6865,20.6066,15.6195,12.8913,11.2659,10.2818,9.72773,9.50432,0.0447413,0.240415,222.586,0.0,0.0,1.0
1.0,0.0,-0.0,222.71,-0.235803,-0.0446855,28.7029,40.2641,71.034,163.517,73.774,31.8732,20.7295,15.7132,12.9689,11.3339,10.344,9.78668,9.56201,0.0446855,0.235803,222.71,0.0,0.0,1.0
1.0,0.0,-0.0,222.834,-0.231189,-0.0445058,28.6038,40.1311,70.8259,162.226,74.1174,32.0473,20.8475,15.8044,13.0451,11.401,10.4057,9.84538,9.61967,0.0445058,0.231189,222.834,0.0,0.0,1.0
1.0,0.0,-0.0,222.956,-0.226577,-0.0442674,28.5073,40.0038,70.6363,160.954,74.4263,32.2151,20.9629,15.8942,13.1205,11.4676,10.4671,9.90391,9.67727,0.0442674,0.226577,222.956,0.0,0.0,1.0
1.0,0.0,-0.0,223.079,-0.221973,-0.0440089,28.4118,39.8785,70.453,159.688,74.722,32.3803,21.0772,15.9834,13.1954,11.534,10.5283,9.9623,9.73476,0.0440089,0.221973,223.079,0.0,0.0,1.0
1.0,0.0,-0.0,223.202,-0.217381,-0.0437562,28.3163,39.7528,70.2682,158.417,75.0186,32.5453,21.1913,16.0725,13.2702,11.6002,10.5893,10.0205,9.79211,0.0437562,0.217381,223.202,0.0,0.0,1.0
1.0,0.0,-0.0,223.326,-0.212803,-0.043512,28.2206,39.6267,70.0811,157.142,75.3176,32.7103,21.3053,16.1614,13.3449,11.6662,10.6502,10.0786,9.84929,0.043512,0.212803,223.326,0.0,0.0,1.0
